,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,looser,win_by_runs,win_by_wickets,palyer_of_match,venue,umpire1,umpire2
11,12,2017,Bangalore,4/14/2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Royal Challengers Bangalore,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,Anil Chaudhary
12,13,2017,Rajkot,4/14/2017,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,Rising Pune Supergiant,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi
13,14,2017,Kolkata,4/15/2017,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,Sunrisers Hyderabad,17,0,RV Uthappa,Eden Gardens,Anil Dandekar,Nigel Llong
14,15,2017,Delhi,4/15/2017,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,normal,0,Delhi Capitals,Kings XI Punjab,51,0,CJ Anderson,Feroz Shah Kotla,Yeshwant Barde,Nitin Menon
15,16,2017,Mumbai,4/16/2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Gujarat Lions,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi
16,17,2017,Bangalore,4/16/2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,Royal Challengers Bangalore,27,0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin
17,18,2017,Delhi,4/17/2017,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,normal,0,Kolkata Knight Riders,Delhi Capitals,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan
18,19,2017,Hyderabad,4/17/2017,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,Kings XI Punjab,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",Anil Dandekar,A Deshmukh
19,20,2017,Rajkot,4/18/2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Royal Challengers Bangalore,Gujarat Lions,21,0,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,Virender Kumar Sharma
20,21,2017,Hyderabad,4/19/2017,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,Delhi Capitals,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",Chris Gaffaney,Nigel Llong
